Principal,First H,target
9.03333333333333,18.1333333333333,6.5
9.13333333333333,15.9333333333333,6.5
6.9,15.8333333333333,6.5
7.53333333333333,18.4666666666667,6.5
6.2,12.6666666666667,6.5
8.86666666666667,12.0333333333333,6.5
6.3,13,6.5
7.06666666666667,13.2333333333333,6.5
6.46666666666667,12.9666666666667,6.5
7.1,12.9333333333333,6.5
6.56666666666667,14.4333333333333,6.5
6.96666666666667,13,6.5
6.1,16.0666666666667,6.5
6.46666666666667,12.9333333333333,6.5
7.1,13.0666666666667,6.5
8.1,16.0666666666667,6.5
6.5,18,6.5
6.13333333333333,12.5333333333333,6.5
7.06666666666667,12.0666666666667,6.5
6.43333333333333,12.1,6.5
6.43333333333333,14.6333333333333,6.5
6.96666666666667,13,6.5
6.53333333333333,12.3666666666667,6.5
6.56666666666667,17.7333333333333,6.5
6.26666666666667,12.0333333333333,6
6.5,12.0333333333333,6
6.03333333333333,17.5,6
6.26666666666667,12.0333333333333,6
7.56666666666667,14.6,6
8.83333333333333,14.2333333333333,6
7.53333333333333,12.4333333333333,6
7.06666666666667,12.0333333333333,6
6.1,13.8333333333333,6
7.06666666666667,12.0333333333333,6
7.83333333333333,12.0333333333333,6
6.73333333333333,12.0333333333333,6
6.4,12.2,6
6.56666666666667,12.8,6
6.16666666666667,14.1,6
7.23333333333333,17.9666666666667,6
8.96666666666667,13.0666666666667,6
7.2,12.0333333333333,6
6.46666666666667,15.0333333333333,7.5
7.56666666666667,12.7,7.5
7.46666666666667,15.0666666666667,7.5
7.5,15.0333333333333,7.5
7.4,15.0666666666667,7.5
7.46666666666667,15,7.5
7.6,12.4666666666667,7.5
7.53333333333333,15,7.5
7.66666666666667,15,7.5
9,15.0666666666667,7.5
9.16666666666667,15.1,7.5
7.2,15.1,7.5
6.3,15.0666666666667,7.5
7.53333333333333,15.0333333333333,7.5
7.56666666666667,13.5666666666667,7.5
7.4,16.9333333333333,7.5
7.5,15,7.5
6.46666666666667,15.0333333333333,7.5
6.1,15.3,7
8.13333333333333,15.7666666666667,7
6.2,14.0333333333333,7
6.96666666666667,14.2333333333333,7
6.53333333333333,15.5,7
6.56666666666667,13.9666666666667,7
6.36666666666667,14.6333333333333,7
6.06666666666667,12.7666666666667,7
6.46666666666667,13.9666666666667,7
6.96666666666667,13.3666666666667,7
6.3,14.2666666666667,7
6.1,15.1666666666667,7
7.93333333333333,12.9,7
8.23333333333333,17.8666666666667,7
7.13333333333333,13.7666666666667,7
7.53333333333333,18.2,7
7,12.7666666666667,7
6.13333333333333,12.8333333333333,7
7.06666666666667,17.4,7
6.9,16.6,7
6.2,15.2666666666667,7
6.73333333333333,18.5333333333333,7
6.63333333333333,12.3,7
7.03333333333333,17.1333333333333,7
6.36666666666667,13.9333333333333,7
7.03333333333333,16.2333333333333,7
7.23333333333333,13.3333333333333,7
6.96666666666667,13.9666666666667,7
6.03333333333333,16.6666666666667,7
7,12.5666666666667,7
7,12.6333333333333,7
6.43333333333333,16.2333333333333,7
6.23333333333333,14.5666666666667,7
6.63333333333333,17.3,7
7,14.0333333333333,7
8.7,14.2666666666667,7
8.16666666666667,16.4,8.2
8.23333333333333,16.4,8.2
8.2,16.4,8.2
8.2,16.4,8.2
8.16666666666667,12.3666666666667,8.2
8.2,16.3,8.2
8.26666666666667,16.3333333333333,8.2
8.53333333333333,16.4,8.2
8.26666666666667,16.4,8.2
8.2,16.3666666666667,8.2
6.83333333333333,16.3666666666667,8.2
7.9,16.3666666666667,8.2
7.46666666666667,16.3666666666667,8.2
8.23333333333333,16.3666666666667,8.2
8.23333333333333,16.4,8.2
8.2,16.3666666666667,8.2
8.23333333333333,16.4,8.2
7.63333333333333,16.4,8.2
8.16666666666667,16.4,8.2
8.16666666666667,16.3666666666667,8.2
7.43333333333333,16.4,8.2
8.16666666666667,16.4,8.2
8.23333333333333,16.3666666666667,8.2
6.5,16.4,8.2
9.26666666666667,12.0333333333333,9.3
9.26666666666667,13.6,9.3
9.26666666666667,18.5666666666667,9.3
6.16666666666667,12.0666666666667,9.3
9.26666666666667,16.1666666666667,9.3
6.36666666666667,14.3333333333333,9.3
9.26666666666667,13.1333333333333,9.3
9.26666666666667,14.1333333333333,9.3
9.26666666666667,17.1666666666667,9.3
9.26666666666667,18.5666666666667,9.3
9.26666666666667,18.2666666666667,9.3
9.26666666666667,14.5,9.3
6.23333333333333,18.5666666666667,9.3
9.26666666666667,16.9333333333333,9.3
6.03333333333333,13.5666666666667,9.3
9.26666666666667,17.8333333333333,9.3
9.26666666666667,18.5333333333333,9.3
9.26666666666667,12.7,9.3
6.2,18.4666666666667,6.5
7.43333333333333,13.3,6.5
7.16666666666667,12.6333333333333,6.5
9.1,12.2333333333333,6.5
8.66666666666667,14.6666666666667,6.5
7.66666666666667,14.4666666666667,6.5
6.56666666666667,13.6333333333333,6.5
6.3,14,6.5
8.73333333333333,12.9666666666667,6.5
6.2,12.9666666666667,6.5
6.23333333333333,12.9666666666667,6.5
6.43333333333333,12.9666666666667,6.5
7.13333333333333,13,6.5
6.43333333333333,13,6.5
6.46666666666667,13,6.5
7.53333333333333,13,6.5
6.06666666666667,16.2,6.5
6.53333333333333,13,6.5
8.6,12.0333333333333,6
6.06666666666667,12.0333333333333,6
8.46666666666667,12.0333333333333,6
7.26666666666667,12.0333333333333,6
6.26666666666667,12.0333333333333,6
6.56666666666667,12.0333333333333,6
6.16666666666667,12.0333333333333,6
7.43333333333333,13.6,6
8.13333333333333,13.1333333333333,6
6.03333333333333,12.0333333333333,6
6.4,12.0333333333333,6
6.7,12.0333333333333,6
6.1,14.1666666666667,6
6.03333333333333,18,6
9.26666666666667,12.9333333333333,6
8.4,12.0333333333333,6
7.33333333333333,12.0333333333333,6
7.03333333333333,12.0333333333333,6
7.53333333333333,18.3333333333333,7.5
7.53333333333333,13.8333333333333,7.5
6.3,15.0666666666667,7.5
8.76666666666667,15.0333333333333,7.5
7,14.5,7.5
8.03333333333333,13.2,7.5
7.5,15.0666666666667,7.5
7.56666666666667,15.0333333333333,7.5
8.9,12.2333333333333,7.5
9.06666666666667,15.1,7.5
7.56666666666667,15.0333333333333,7.5
7.56666666666667,12.3666666666667,7.5
7.46666666666667,15.0666666666667,7.5
9.03333333333333,15.0333333333333,7.5
7.5,12.4666666666667,7.5
6.16666666666667,12.2666666666667,7.5
7.53333333333333,13.5666666666667,7.5
7.2,15.0333333333333,7.5
6.96666666666667,12.9666666666667,7
7,12.2333333333333,7
9.2,13.9333333333333,7
6.96666666666667,12.2666666666667,7
9.03333333333333,14.2333333333333,7
7.26666666666667,12.2,7
7.03333333333333,14,7
7,17.1,7
6.93333333333333,12.1,7
7,14.0333333333333,7
7.03333333333333,14.6666666666667,7
6.33333333333333,13.9666666666667,7
7.03333333333333,14.0333333333333,7
7,14.0333333333333,7
6.1,13.1666666666667,7
9.26666666666667,13.9333333333333,7
7.76666666666667,13.9666666666667,7
7,12.5666666666667,7
6.73333333333333,15.6666666666667,8.2
8.16666666666667,16.4,8.2
8.13333333333333,16.5,8.2
8.93333333333333,16.4,8.2
8.23333333333333,16.3666666666667,8.2
8.16666666666667,12.0333333333333,8.2
8.16666666666667,16.4,8.2
8.16666666666667,16.4,8.2
8.7,16.4,8.2
8.2,12.0666666666667,8.2
8.2,12.9333333333333,8.2
9.1,17.5,8.2
7.96666666666667,14.3333333333333,8.2
8.2,16.4333333333333,8.2
6.83333333333333,17.2,8.2
8.2,18.4666666666667,8.2
8.23333333333333,15.5333333333333,8.2
8.23333333333333,16.3666666666667,8.2
9.26666666666667,15.7333333333333,9.3
9.26666666666667,12.1,9.3
9.26666666666667,12.5,9.3
9.26666666666667,15.9666666666667,9.3
9.26666666666667,15.5666666666667,9.3
9.26666666666667,12.1666666666667,9.3
9.26666666666667,12.5,9.3
9.26666666666667,13.5666666666667,9.3
9.26666666666667,16.5,9.3
9.26666666666667,12.7666666666667,9.3
9.26666666666667,12.8666666666667,9.3
9.26666666666667,16.4666666666667,9.3
9.26666666666667,13.0666666666667,9.3
9.26666666666667,18.0333333333333,9.3
9.26666666666667,15.7333333333333,9.3
9.26666666666667,18.2,9.3
9.26666666666667,14.6,9.3
9.26666666666667,17.3666666666667,9.3
8.46666666666667,12.3,6.5
6.33333333333333,12.2,6.5
9.26666666666667,17.3333333333333,6.5
6.53333333333333,13.0666666666667,6.5
6.2,12.8,6.5
6.5,12.7333333333333,6.5
6.53333333333333,12.2333333333333,6.5
6.7,13.0666666666667,6.5
6.43333333333333,16.0666666666667,6.5
6.5,13.6666666666667,6.5
6.23333333333333,13.5,6.5
6.63333333333333,13.0666666666667,6.5
6.33333333333333,12.4333333333333,6.5
6.46666666666667,12.0333333333333,6.5
6.46666666666667,17.5,6.5
6.5,13.0666666666667,6.5
6.56666666666667,12.6,6.5
6.3,13.9666666666667,6.5
8.23333333333333,14.9666666666667,6
6.03333333333333,18.1333333333333,6
6.03333333333333,14.2333333333333,6
6.03333333333333,15.0333333333333,6
6.03333333333333,16.6333333333333,6
7.5,12.0333333333333,6
6.03333333333333,12.0333333333333,6
6.03333333333333,13.4,6
6.96666666666667,12.2333333333333,6
6.03333333333333,18.1333333333333,6
6.03333333333333,17.9333333333333,6
6.03333333333333,17.5,6
8.93333333333333,13.4333333333333,6
6.03333333333333,14.1333333333333,6
6.03333333333333,17.8333333333333,6
6.03333333333333,13.1666666666667,6
8.76666666666667,12.0333333333333,6
8.1,12.3666666666667,6
6.16666666666667,14.3666666666667,7.5
7.53333333333333,15.0333333333333,7.5
7.46666666666667,15.0666666666667,7.5
7.53333333333333,13.2,7.5
7.53333333333333,12.1666666666667,7.5
7.5,15.1,7.5
7.53333333333333,14.6333333333333,7.5
7.5,13.5,7.5
7.5,12.8,7.5
7.53333333333333,12.6333333333333,7.5
7.53333333333333,12.8333333333333,7.5
7.5,12.7,7.5
7.5,15.0333333333333,7.5
7.5,14.9333333333333,7.5
7.5,15.0333333333333,7.5
7.46666666666667,16.2,7.5
